类型,ID/标题,发布日期,字数/点赞,浏览量/含金量,详细内容/长文摘要
实战推文,1953381112086233108,Thu Aug 07,点赞 34,评分 7.3,为什么现在是小交易所（现货）是小马“拿捏”binance的场内仓位（大车）？  对于绝大多数山寨币而言，其交易深度和上市交易所数量都非常有限，这使得它们的价格指数极易落入上述“小数据集”的陷阱。  因此，交易所声称的“多源指数”所带来的安全感，在山寨币的世界里往往只是一种幻觉。很多时候，最新成交价往往与标记价格划上等号。  这里会有一个很诡异的现象：  即使binance的合约市场的交易量是100m，但是大户只需要控制某1/2个小交易所的现货orderbook （交易只有10m）就能控制binance perp内的仓位  很多人在赌，但是很多时候连赌的是什么都不知道…..   我们就是说，你最起码要知道你赌的是个啥吧？！
实战推文,2039528304324272409,Thu Apr 02,点赞 63,评分 8.0,针对 @DriftProtocol 的这笔攻击的细节版…  攻击者大约在2-3周前mint了一个叫 $cvt CarbonVote Token，在raydium上用500u组了个池子（一个 $cvt 是 1u）  之后就开始刷量，给oracle制造有“价格历史”（这步很关键）  在4月1号的时候开始发动攻击 攻击者拿到了admin key - 先把cvt 这个token list在drift的spot（这步是让cvt能成为抵押品）同时把各个vault的usdc提现上限限制解除  之后就通过5个钱包把785m （价值785m u）的cvt以抵押品的形式（cvt在drfit上有spot且有喂价）质押进来协议然后疯狂在各个spot market借贷  用31笔交易在12分钟内把包括usdc jlp usdt等20多个vault的资金洗劫一遍，损失超过了200m+  之后把资产通过wormhole跨链到ethereum再换成 $eth （谁说 $eth 没有价值的？）  这次的攻击本质上还是admin key被compromise了  耐人寻味的是，有网上据说 Drift的核心人员在几周前离开了.. 在这个时间点，要同时有admin key，而且用的是抵押借贷的逻辑，整个攻击耗时20分钟左右…   希望能追回来  出处：https://t.co/iIqHPimu6K
实战推文,2101615951229956212,Sun Sep 20,点赞 29,评分 7.9,不好意思啊各位，这篇文估计要明后天才能发出来了…   加入了新的参数和模型之后，结论有一点太炸裂了，超乎我的预设，我需要多花点时间来验证一下猜想，以防误伤binance  如果假设和数据没错的话，stock perps在目前最好的应用其实是pre ipo perps - 将近300倍的杠杆  大家可以提前去阅读这篇，当作复习一下背景知识：  https://open.substack.com/pub/agintender/p/nasdaqstock-perporacle247-5da?r=8gs9xi&utm_medium=ios
实战推文,1964522416006451276,Sun Sep 07,点赞 19,评分 7.5,DAT 这个强大的引擎有一个致命的弱点：它完全依赖于持续的牛市情绪和高企的股票溢价。一旦市场转向，飞轮会迅速反向旋转，变成“死亡螺旋”：  溢价消失，燃料耗尽： 当底层币价下跌时，“币股”的股价会跌得更猛，导致其mNAV溢价迅速收缩，甚至变为折价。  融资能力被冻结： 一旦溢价消失，任何通过增发股票的融资行为都将是“减值性”的（Dilutive）。此时，公司无法再进行增值性融资，其核心的增长故事就此破产。融资能力——这条唯一的护城河——瞬间干涸。  负反馈循环： 融资渠道的枯竭和增长叙事的破灭，会引发投资者的恐慌性抛售，进一步打压股价，形成恶性循环，最终可能导致股价的崩溃。
实战推文,1979752675265933389,Sun Oct 19,点赞 228,评分 9.8,"看到大家洋洋洒洒写 $slerf 的战绩回顾  我这里扯一个没什么人关注的细节（我自己觉得这个才是关键！）指数价格 index price 合约交易里“价格自引用”的现象  就是你会看到有一些合约交易里的index price里面，出现一个自己引用自己的奇怪场景？（以 $myx 为例）  什么叫自己引用自己？说白来就是在计算标记价格（mark price）的时候增加合约场内市场价格的权重  一般来说（每个交易所都有点差异，大家看个大概就行）标记价格的公式是取：这三个数的median （合约最后成交价，现货指数价格（与资金费率）的ma价格，指数价格与盘口价的ma） （这里以 bitget为例 https://t.co/np7iE6qs1K）   从这个公式可以看出，除了指数价格之外，合约场内价格的影响力已经不小了，再在这个基础之上现货指数价格再加入合约场内的价格，那标记价格受“合约场内价格”的影响就更大了，尤其是在myx这个例子里  举个非常简单的栗子： a所是10，b所是11，场内价格是15，orderbook的ma是2   指数价格是a/b/场内各1/3  ，忽略ma计算  指数价格：11.91  盘口价：11.91 +2 =13.91 标记价格：中位数（11.91,15,13.91) = 13.91  场内价格基本影响了所有的参数  一般来说指数价格都会取现货价格，但是如果长期期货-现货价差太大，或者说数据不足的时候，交易所就会退而求其次地抓取合约的场内价格，公允与否就见仁见智了  说完了原理，现在我们来看： $slerf 的指数价格结构  对的，你没看错，60%来自于bn的场内合约价格  这个时候你们还觉得 $slerf 的主战场是在现货吗？  binance和okx的机制长文： https://t.co/vOoRVrsC5y bitget和bybit的机制长文： https://t.co/orWyZ3IEgg"
实战推文,1974700771745861691,Sun Oct 05,点赞 115,评分 6.8,套利本质上是找bug  bug的本质是各种错配（资金/时间/信息/人性etc）  找bug的方法之一，就是不按照使用说明书来  开了一扇门，进来的不只是人，还有风  捕捉到风的流向，成为自己的风无向 😂
实战推文,1995006428273332548,Sun Nov 30,点赞 43,评分 6.8,之前 @hongkongdoll 问过，合约操盘的玩法还有什么？  也差不多该从流动性攻击切换到预言机攻击了，毕竟cex的流动性不足且卡提现了  只能拿dex开刀了…  那些标的里没有bn和upbit现货，价格还自引用的，且主力资金在dex资金池的要注意咯
实战推文,2053374435273453870,Sun May 10,点赞 5,评分 6.9,其实也不离谱啦，我还是很能理解的… 你的价值观就是建立在既有规则底下的价值传输无效和价值错配的基础上，aka 套利  风无向是基于对未来情势判断做压注，只要不影响终局，中间的变化/变数都无关紧要，接着炒就完了 aka 只要前提假设不变，接着搞就完了  但价值错配不同- 只要一发生反转，策略就失效了，就应该撤离，或者就因此捍卫这个规则机制  说白了就是价值观的差异体现，也是你们两的交易风格的不同  世间这么多人，能一句话秒懂彼此的人真的是凤毛麟角，知音少一个就是少一个了  我觉得你们两tm就是ego作祟- 你仔细想想：规矩是对的，但娱乐也有道理啊- 就是双方都咽不下这口气，都拉不下脸  男人之间吵架不是常有的事吗？大佬们还互相斗嘴，还看合不合规呢？有些还搞到对簿公堂呢？   有人眼里容不下一颗沙，还有人愿意为了一棵树放弃整片森林呢  就你们两，哎..没必要  不是我吹，要是我在那场牌局估计你们两就没事了…
实战推文,2050961561976779227,Sun May 03,点赞 1,评分 6.2,赞同这个点：真要从经济学讲，就是看市场给高稀有度图的溢价 vs 碰撞的gas cost  我自己觉得性感的不是合约、界面本身，而是对于exotic contract的扩展和抽象  pandora的概念挺好的，就是没做起来，其中一个原因就是cex几乎没办法list，浏览器都不太支持查询教育，对于散户是个大门槛  upeg如果没办法让cex像list一个普通token这样去交易，估计在这个世道也难
实战推文,2035658207478337565,Sun Mar 22,点赞 51,评分 8.0,朋友们，这个就是典型的小马拉大车，就是控制现货的盘口（小马），然后控制合约（大车）的价格走向  属于指哪儿打哪儿，因为标记价格大都来自现货，而现货被控制了  担心 $siren 期货和现货价格不匹配，或者怕高资金费率的朋友    https://t.co/VCAbx1q9aL 看一下 https://t.co/eZ7GtplLAk
实战推文,2033195638272434192,Sun Mar 15,点赞 342,评分 8.6,为什么sk海力士的foward p/e只有6-8，不是说AI永远缺内存嘛？说好的至少10倍呢？说好的一片光明呢？  经小伙伴提醒，要补一下这个事情  简而言之：作为实控人的sk（财阀）完全没有动力给股民分红，而是把利润留在集团内部为己用，这也是韩国财阀股普遍pe不高的原因  从公开资料来看，老崔家（sk）控股——sk inc —— sk square —— 控了sk 海力士20%  韩国财阀们一般都是通过这种层层杠杆控股的方式操纵目标公司的实际经济收益权。sk集团基本上拥有对sk海力士 100% 的绝对控制权，包括董事会任命、CEO任命和重大战略决策，是否分红等等。（这个非常关键）  欧美的机构都是等着人家赚大钱后分红，但是老崔家只有20%的股份；假设分红，老崔只能拿走20%；但是留在集团，100%的利润都是任凭我处置，你说你要是老崔/sk，你会咋想？  在这个商业利益计算下，如果没有人（一般是政府）做野蛮人去反抗，去争夺董事席位，老崔家的最优解就是不分红，而且不光不分红，我还要把利润输血到其他业务，比如烧钱极快的 SK On 电池业务、电信、生物制药等。  财阀有强烈的动机将海力士的利润留在内部，用于集团内的资本运作、高溢价收购，甚至通过复杂的关联交易向母公司输送利益，企业赚的钱跟股民一毛钱关系没有 —— 这个就是为什么财阀控股的股票一般pe都不高的原因。。。。  说实话，有没有币圈项目 dao token那味儿了～ 🤣   看的人多的话，我再写点内存行业的玩法，就分析内存怎么可以只看hbm和dram呢？！怎么可以不看bom bill of material的会计准则呢，真是的。。。。
实战推文,2066163287624917269,Sun Jun 14,点赞 15,评分 6.9,无利益相关 关闭充提之后，就会发生不同所之间的价差，更不要说合约了（因为没办法转账套利扳平）  这点以前在韩所upbit/bithumb关闭充提之后其实是频繁发生的，因为野庄可以通过交易所的钱包地址和orderbook的数量来反推自己在这个战场要面对的“盘”  这个时候的对手盘就是清晰可控的（provided 交易所不能去印币）- 加上散户是越涨越买，就可以在高位慢慢出货获益  久而久之，就形成了“肌肉记忆”，关闭充提=要搞事  现在回到 $h 这个标的就更好玩了- 因为有合约+大部分不受控制的筹码在链上，因为关闭充提，用户没办法在链上买，cex卖（盘子变轻了n多）  关键还是合约指数价格的权重大部分是cex和合约自引用，就形成了不care链上一直往上抬的局面，然后不明所以的小伙伴跟着进来  是不是一定是项目方？野庄？mm？不知道  啥时候结束？或者说进入下一阶段的我博弈？这个情况跟我之前说的下架币叙事有点类似- 就是等到充提开放或者调整指数价格的权重  无论如何，这件事对于操盘方来说，最大的挑战是如何把钱从cex提出来
实战推文,1944290240476459042,Sun Jul 13,点赞 5,评分 5.4,@cishanjia 非常不建议新手参与这种程度的套利  需要考虑的环节太多了  差一环就完了
实战推文,2073733832575189441,Sun Jul 05,点赞 5,评分 6.9,"当 @cz_binance ：Binance没拿到MiCA，不能为欧洲用户提供流动性支持，对双方都是损失的时候，到底是什么意思？ ""It's a loss for Binance. It's also a loss for Europe. It's a lose-lose situation.""  当 @star_okx ：英国 FCA、新加坡 MAS，以及欧盟 ESMA 还会邀请 Binance 回来吗？还是说，它们会允许 Binance 像在日本那样，通过收购一家已有牌照的公司，绕过同等程度的监管审查？ 到底指的是什么？  这篇文尝试说一个大家都没注意的事情：合规溢价 为什么合规，就要比别人更贵？！"
实战推文,2073692193026617400,Sun Jul 05,点赞 3,评分 6.2,@thecryptoskanda 行业现状就是牌照/合规只是一个营销工具，或者一个拒绝用户的理由而已  牌照原来就是为了制造寡头竞争的局面（甚至垄断地位），所以获得牌照才能获得利润，结果现在是牌照是一个负担，因为竞争足够充分，基本没有溢价了  要赚钱只能从事那些“相对垄断”的事情
实战推文,1964227963131744427,Sat Sep 06,点赞 15,评分 6.2,底层加密资产的价格表现： 这是决定公司资产净值（NAV）的基础。  管理层的金融工程能力： 即公司以多快的速度、多低的成本、以及多小的稀释代价来筹集资金并转换为资产。  股票市场的市场情绪： 这是决定公司 mNAV 溢价水平的关键，直接影响其融资能力和“飞轮效应”的强度。  每股的净加密资产持有含量：这决定了均摊到每股里的加密资产水平。
实战推文,1964216144379990085,Sat Sep 06,点赞 7,评分 6.9,DAT完全依赖于持续的牛市情绪和高企的股票溢价。一旦市场转向，飞轮会迅速反向旋转，变成“死亡螺旋”：  溢价消失，燃料耗尽： 当底层币价下跌时，“币股”的股价会跌得更猛，导致其mNAV溢价迅速收缩，甚至变为折价。  融资能力被冻结： 一旦溢价消失，任何通过增发股票的融资行为都将是“减值性”的（Dilutive）。此时，公司无法再进行增值性融资，其核心的增长故事就此破产。融资能力——这条唯一的护城河——瞬间干涸。  负反馈循环： 融资渠道的枯竭和增长叙事的破灭，会引发投资者的恐慌性抛售，进一步打压股价，形成恶性循环，最终可能导致股价的崩溃。
实战推文,1981886836235702706,Sat Oct 25,点赞 21,评分 6.6,没想到我看走眼了，原以为从战略上是 @aspecta_ai  占据“价格预言机”的c位，没想到 @APRO_Oracle 才是正规军  罢了罢了，为自己的认知买单 🤣
实战推文,1979512916316676576,Sat Oct 18,点赞 464,评分 7.8,各位朋友，我认真的，假设你不知道什么是 1. 最后成交价格 2. 指数价格 3. 标记价格  那你去做合约交易就是去送人头的 ，妥妥的  合约交易的盈亏/强平看的都是：标记价格  标记价格是一个综合指数。 ，由指数价格（各大现货交易所的加权平均价）和资金费率基差共同构成，以避免单一交易所的价格波动导致不必要的强制平仓。
实战推文,1984569053042876547,Sat Nov 01,点赞 88,评分 7.5,在 Polymarket 的设计中，预测份额的价格始终介于 0 到 1  USDC 之间，且对于任一二元事件（本文不讨论n元事件），YES 份额价格与 NO 份额价格的总和需由  1  USDC 全额抵押。在理想的无摩擦市场中，理论平价条件 YES + NO = 1 应该严格成立。当YES + NO 价格 < 1  时，套利者可以通过同时买入两方份额以低于1的成本锁定1  的固定回报，实现 Profit = 1 - (YES + NO)。  Polymarket 平台通过引入“负风险”（NegRisk）机制，进一步强化了平价的执行。该机制允许交易者将任意一个 NO 份额转化为所有其他结果的 YES 份额组合（在非二元市场中），或者在二元市场中，理论上实现了 NO 份额与所有其他（即 YES）份额的低摩擦兑换（实际上，根据流动性的好坏，差异会很大）。这种Negative Adapter是平台内置的、旨在快速消除价格偏差的正式套利工具。  因此，该机制的存在表明，任何持续的 YES + NO < 1 套利机会都大于手续费和价差
实战推文,2053233274760450092,Sat May 09,点赞 104,评分 6.4,庄不是Bug，庄是这个游戏的底层结构   一个Token凭什么涨？拉盘需要两样东西：筹码 + 资金。 这两样东西合在一起，叫做定价权。 筹码不够集中，权益不足，就没有人有动力去拉盘。  筹码集中不是阴谋，是拉盘的前提条件。没有庄就没有行情。  你们这班人真的是暴殄天物啊～～～～
实战推文,1999733265549443198,Sat Dec 13,点赞 6,评分 6.5,对于当时的西方银行家来说，1960年代的印尼是一个刚刚经历过流血政变、经济混乱的高风险国家。  林绍良被视为一个没有操盘经历和信用历史的“丁香商贩”，资产负债表不透明，抵押品不足。根据传统的信用评估标准，这笔贷款是不可通过的。  就在其他人犹豫不决时，陈弼臣果断介入。盘谷银行提供了所需的关键启动资金和营运资本。  陈弼臣评估这笔贷款的依据不是林绍良的财务报表，而是苏哈托特许经营权的价值。陈弼臣深刻理解，有了垄断法令（国家物流局Bulog被授权向Bogasari独家供应小麦，经加工后再向后者回购），这家企业除非政权倒台，否则就是一部印钞机 。  苏哈托曾形象地将Bogasari的角色描述为“裁缝”——客户（国家）提供布料（小麦），裁缝制作西装（面粉）并收取加工费。  盘谷银行实际上是将这笔政府担保的“加工费”现金流进行了证券化和贴现。  陈弼臣看准的是这种垄断代工模式 ：垄断意味着掌握定价权，加工意味着价值叠加，有利可图。  各位尊贵的加密“陈弼臣”们，你们在2026年的Web3看到了什么？
实战推文,2091181284186062890,Sat Aug 22,点赞 2,评分 5.4,@0xLaughing @PythNetwork @chainlink 🤣 首先我不知道啊，即使是有，我也不敢说啊  主要是这跟两者的技术路线和算法是有差异的
实战推文,2091180261979697415,Sat Aug 22,点赞 41,评分 8.3,看起来好多人感兴趣这个事情啊？ 为什么是 @PythNetwork 拿下了中心化交易所cex的stock perp的oracle业务  为什么不是 @chainlink ？要知道chainlink自己也提供 stock的oracle业务？为什么中心化交易所们都不采用？甚至这个事情都不是排他的，就是多加一个权重的事情  为什么反而是去中心化交易所，比如 @Lighter_xyz @OrderlyNetwork 都在用chainlink的stock oracle？  到底是什么原因呢？ 好难猜啊～    下一篇文，一并给大家讲一下这里面的算法和逻辑，有兴趣的可以关注，不日会发在付费群里让大家开开眼 https://t.co/oWfm2IKoZs
实战推文,2090990400924438993,Sat Aug 22,点赞 65,评分 7.9,说一个冷知识：各家交易所 stock perp的oracle命门就是 @PythNetwork 和 @KaikoData   基本上每家交易所都接入了他们的oracle  是不是很惊讶，stock perp的赛道居然是 pythnetwork 而不是 chainlink  stock perp的隐形冠军 solana:HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3
实战推文,2085921424318058534,Sat Aug 08,点赞 15,评分 6.9,写这篇文的契机是前段时间有几个小伙伴问我：合规的意义是什么？护城河是什么？  我说：所谓的罚款，罚金都是谈出来的 - 你注意看法条里的“没收违法所得”。“处以x倍的罚款” - 你看懂了吗？这里面的基准都是从你“赚了多少”开始的  很多人不知道的事，这个事情该怎么折算，怎么定价  这篇文严格说来应该算是https://t.co/mKqxjqO1km 的DLC  它讲述了一个非常朴素的道理：风险的折价（溢价）  万变不离其宗，其实所有的（第一手）收费入口都在法院/警察局/监管局给出的罚单种，再从那里一层层往下分配（这个就是一种风险转嫁，风险再分配）  很多人没有注意到：binance的43亿的天价罚款其实改变了很多事情，一夜之间把合规支出提高了至少50%  ps：这种文要是放在以前的x，早就10w+了 🤣🤣🤣
实战推文,1913515720694243571,Sat Apr 19,点赞 4,评分 6.9,$om 的崩塌居然是因为一个乌龙球？ 先说结论： 这次的事故很可能就是一次因为大户要赎回otc deal造成的乌龙球事件  1. 大户看到增发的公告，心生不爽，遂找到团队闹 2. 团队没办法，只能把币转入okx，然后抵押om借出usdt （是的，因为okx接受om为抵押品） 3. 借完之后，发现还不够，所以要调整头寸，于是把现货流动性撤出 4. 之后，mm试图在市场抛售om来获得更多的现金（2.28am） 5. 套利的mm机器人发现情况后，就开始卖现货，平空仓 6. 接着质押的om达到了平仓线 （2.29am） 7. 之后的事情，大家都知道了，就是各种螺旋踩踏  有兴趣看细节的，原文：https://t.co/qs2pIhETFy
实战推文,2042806233011490967,Sat Apr 11,点赞 62,评分 7.2,别pm我啦…. 我不是交易博主  $rave 的战场在oi/合约 但是定价权在链上现货  分析路径和阶段判断在文章里，跟着一步步计算就行  你又不看文，又不去计算，验证，看到ct发文再满世界往往问？许愿都不带这么样的…  有个tips 可以关注 https://t.co/VCAbx1q9aL 上什么新品 😂 https://t.co/qubfxt6SaQ
实战推文,1964923918826770482,Mon Sep 08,点赞 8,评分 7.4,"要准确评估“币股”，投资者必须超越传统的市盈率或市净率等指标，掌握一套专为该模式设计的分析词汇。  资产净值 (Net Asset Value, NAV): 这是评估 DAT 的基石，指公司持有的数字资产按当前市场价格计算的总价值。它代表了公司资产负债表上加密资产的“真实”内在价值。  股权相对资产净值的溢价 (Equity Premium to NAV 或 mNAV): 这是理解“币股”估值的核心概念。它量化了公司的股票市值相对于其每股所含数字资产净值的溢价程度。该指标通常以倍数（mNAV，即 multiple of NAV）表示。例如，如果一家公司的 mNAV 为 2.0x，意味着其股价是其每股所含BTC价值的两倍。高 mNAV 反映了市场的乐观情绪、对公司未来增持资产的预期、股票的稀缺性以及作为合规投资工具的便利性溢价。反之，mNAV 的收缩则预示着市场信心的减弱。  BTC收益率 (Bitcoin Yield 或 Crypto Yield): 这是 DATs 管理层提出并积极推广的一个关键绩效指标（KPI）。它衡量的是在特定时期内，公司每股（完全稀释后）所代表的BTC（或其他加密资产）数量的增长率。正的“BTC收益率”意味着公司通过融资购买新资产的速度超过了股权稀释的速度，使得每位股东名义上拥有的BTC份额在增加。反之亦然  该指标必须与股价表现和 mNAV 趋势结合分析，才能全面评估其对股东的真实价值"
实战推文,1962352814598050127,Mon Sep 01,点赞 18,评分 6.9,今晚就是 $wlfi 开盅的日子啦 不出意外的话，各大交易所都会争相上市，毕竟谁敢不给总统面子 😂  有几个观察 1. eth为主，bnb和sol为辅 ；cex为主，dex为辅：前15min应该有差价，有能力套利的，自己组LP（不建议新手搞），以sol和eth为主就行  2.因为初期只有4%的流通盘+ 币股概念 + 总统概念 — 市场普遍的方向性“很一致”，今晚玩合约的要小心  3. 一开始满贯，所以没有后续上所预期的增幅，全靠市场 +sigma买 + mm，然后又要让前期参与的人顶着高位接  但是你也别怕，基金会还有otc这招，只是能找的人都找了，存量市场不多  4. 总统亏钱是不能亏的，出钱也是不可能的，就看合作伙伴有没有格局，不给总统丢脸，不过sigma的经验告诉我们— 格局是没有的，希望 wlfi 能够给我们带来惊喜，顺利施展梯云纵  5. 要claim token的，宁愿慢也不要错，搞了这么大阵仗，不会两下就腰斩的
实战推文,1982812586262298744,Mon Oct 27,点赞 7,评分 6.2,@tenten19901107 现在预测市场的竞争是需要NLP大模型+多层逻辑链 + 统计套利  单纯的低风险价差的机会不多了  anyway预测市场本质上就是n元期权市场，总是能算出来的 😂
实战推文,1977600919941558369,Mon Oct 13,点赞 37,评分 8.4,an unpopular opinion 有人说因为价格没有传导到链上，所以 @binance 的场内价格直接崩塌/脱锚，要是能”顺利“接入链上流动性就不会发生这样的事情？（让套利者能搬平价格）  我对这点是持怀疑态度的  这波 @ethena 其实应该感谢 bn场内的价格（不管是因为系统挂掉、无法提现 etc）没有传导到链上  要不然这波亏的可就不是这样了 - 你想一下，还要加入ethena的操作，多了一个变量  原因也很简单： usde的机制是用现货-合约做对冲来维持的  换句话说，假设要赎回1 usde的话，ethena的协议需要同时卖掉等值eth和平eth的空仓（就是买入多仓）—— 要“主动交易”才能完成赎回  它是需要操作才能完成价值的锚定- 而要操作/交易的话，就需要市场上足够的流动性，在5.30-5.50这个兵荒马乱的时间段，你还想要有充足的流动性？你能不能进入交易所操作都成问题呢？而且主战场还是在ethereum链上，这速度你懂的 🤭  诚然，能接入链上的流动性必然可以增加流动池的厚度，但是别忘了usde /ena 在链上也有循环贷的头寸（ltv比例更激进），也会爆的（bn上的vip ltd是95%，谁能告诉我aave是对少？），aave上的usde（虽是hardcode=1），这个时候就会发生aave的亏空，进而导致爆发另一轮的链上踩踏  我们就想一下，假设接入链上流动性之后usde跌到0.8 （bn场内最低到了0.65），链上的借贷头寸会发生什么事？尤其是那些固定汇率的借贷协议  声明：我不是说binance这波的操作没问题，我要说的是：不要觉得这次没出事，你的协议就是bullet proof
实战推文,2068903817102729448,Mon Jun 22,点赞 4,评分 5.8,@YeruiZhang 哎 这种动态调整指数价格来源的方法可以说是用一个新的问题来解决一个现在的问题  如果不能限制出入金的渠道，长期看来还没什么作用，攻防成本的变化不大
实战推文,1934637040316113330,Mon Jun 16,点赞 16,评分 7.7,如果你觉得币圈魔幻，那美股才是真·魔幻  pump40倍的pe被骂死，反观circle今天的市盈率PE都快200了...；srm 一个帮theme park/影视做周边/玩具的公司一个tron的公告直接新高....   鲁迅说过：要去人多的地方赚钱。  毕竟圈外人还没领略圈内的风景，所以看到的都是一片朦胧 —— 朦胧产生美；而我们离得太近了  不是项目错了，而是我们走得太近  人，更愿意为朦胧和未知买单  对于pre tge的项目： 别发什么u卡，稳定币，公链了 也别上什么binance alpha/ok/bybit etc  直接拿着预算去反向收购一个上市公司好了，做下个xxx微策略，币股结合，才是这个版本的信息差套利生意（让圈外人（美股）fomo crypto 概念，才是正途）  不需要盘子、不需要叙事，只需要套利  上个版本的etf，这个版本的xx微策略，下个版本的xx伯克希尔 —— 如此直观明了
实战推文,1947296732876067010,Mon Jul 21,点赞 214,评分 8.5,如果说币圈有什么深层次的金融创新，AMM算一个，永续合约交易也算一个  永续合约的核心之一就是“资金费率”的设计  就是这个简单直接的公式让多少交易大神折戟、早就多少个暴富神话、甚至还给大家贡献了精彩的盘面攻防战  这个机制体现了一种巧妙的治理思想：交易所并不直接干预市场价格，而是建立了一套激励规则，让市场参与者（尤其是套利者）通过自身的逐利行为来主动修正价格偏差。这使得整个系统更具弹性、且具有自我调节能力  因为资金费率的机制，让永续合约不再是一个“赌大小”的游戏（近战肉搏），而是一个充满博弈、策略的交易战场，因为这些特性衍生出各式各样的交易策略，有些真的是让人叹为观止。  以这篇长文为起点（https://t.co/SeHCOYVz38），让大家先看点基础的背景知识。如果反应热烈的话，我再解构几个案例和操盘手法。 🤣    如果大家觉得这篇文章对大家有帮助的话，还希望大家多多转发，点赞哈
实战推文,2079115404845457699,Mon Jul 20,点赞 20,评分 8.7,嗯 今天的kospi又熔断了  从数据来看： 出货的是机构 - 可能对应了之前说的，压着库存，想趁着早盘高开出点，没想到直接砸崩了 另，可能受政策影响，国内机构最近这几个工作日一直往股票操作账户打钱  外资更多的是买现货 + 期货对冲，看样子更多是套利的交易  散户 - 还在加杠杆进场（预托金涌入缓慢了很多，较之一个月前）   好消息是，去杠杆初有成效了，总margin终于下降到33万亿以下了（近5个交易日下来了1万亿）
实战推文,1942126922328371618,Mon Jul 07,点赞 11,评分 7.4,哈哈哈 等来了 $vic  很典型的现货和合约差  有人控制了现货（市场没多少现货），mm没办法靠套利搬平价差了，所以会出现-2% 资金费率  目前 $vic 30m mc，就看庄家的格局了，毕竟盘不轻  现在还是4h收一次funding，还不到资金费率收割的时候  有意思的一点，mexc的现货交易量是binance的2.5x https://t.co/SQQ4ByFHIL
实战推文,2010563804757987569,Mon Jan 12,点赞 2,评分 6.2,@nina_rong @BNBCHAIN 万物皆可meme的源头是博弈，是赚钱，就像个没有oracle报价的cfd  那就把万物皆可cfd化，只要能博弈，炒什么都是炒 😂
实战推文,2091795645954990568,Mon Aug 24,点赞 33,评分 9.4,给大家大致写一下这篇文的幕（成）后（本）花（账）絮（单）  背景大概是在6月中的时候我开始跑bn stock现货和perp的策略 - 然后再7月初的时候有人问我要不要写一下bstocks，我那时候没怎么在意，一直到7月中旬偶然一次聊天被提起，刚好那时候出了点事，要找点事情分散一下注意力  为了保持独立性，我全程没有跟bn沟通过策略，测试标的、时间、使用的账号等等，所以你们说有什么特殊权限，安心，那是没有的  七月中旬开始测试btsocks的时候是需要v3账号的，那时候有个政策就是存入1m 美金就能开通，之后弄了个账号，放了1.x m ，终于开通了  我还记得bstocks那时候还没有开放api交易，我真的是醉了。。 还好不久就有了。 之后就开始了我漫长的链上+cex测试  我最开始也不知道这篇bstocks的文会写成什么样的，就是带着几个假设和前提来做，一边交易一边测试一边修正研究思路，为了尽量符合散户的习惯，尽量模仿散户的交易习惯（比如taker，周末挂单子等周一开盘，看到消息后交易等等）-后来发现道，按照现有的手续费结构和流动性，会被耗死  才逐步转向stock+perp的结构 - 这才开始好转（冷知识不是每个stock perp的maker都是0哈），之后就发现一些有意思的现象 - 如果能把链上的流动性打通会怎么样？尤其是在是周末。 🤣🤣然后就开始了被坑惨的周末，尤其是借贷侧。。（不过链上的套利还是可以做的）  在这个不断修正的过程中，我就逐步形成了一些看法 - 在bn现有的生态体系、产品结构和流动性深度情况下，到底bstocks承载着什么作用？ 到底什么才是bn的战略目的？btsock适合什么人群？要达到既定的战略目标，目前还欠缺什么？等等  在这个过程中才逐步了解为什么 $sndk 的交易量一直是top1/2，为什么bn上了这么多指数产品？为什么stock的保险金共用一个池子？为什么周一开盘的插针的规律如此类似等等  还有就是把交易数据和orderbook的data放在一起坐纵向比较的时候，你会发现好多好有意思的事情 - 原来，周末的定价权已经开始转移。。。  这些假设的打破再重建，都是一步步交手续费亏钱骂娘然后归纳总结出来的 - 从觉得bstock就是个链上stock，到衍生品，到粘合剂，到库存层，到定价权的转移。。每回看数据和策略的表现都能刷新认知  （btw:https://t.co/iXGeWBukhP 这篇bn research写的文还是很不错的）   所以我一直说这种文真的很“贵”，不只是表面的手续费+滑点+gas fee +token。。 还有资金占用成本，机会成本等等，这都还不加上我的时间和精力 ——用兴趣的小伙伴可以预估到底要花多少万u来做？关键是有这个能力的，还来帮你做调研写文章？ 🤣  说这么多只是想告诉大家，好的独立研究是非常烧钱的，所以请大家好好珍惜  然后有小伙伴估计也留意到我在推我的substack https://t.co/oWfm2IKoZs - 起因有两个，第一个是我写完这篇文一算账把我吓了一跳，居然花了这么多钱，得赶紧想个办法回回血 🤣 太tm伤了。。； 2. 花这么多心血的文章应该被尊重 ，别人尊不尊重不要紧，但首先你自己得把它当回事 懂的人都知道我不靠写文发广告挣钱（给我钱是很难的事情），但不能这样子  这次不做老好登了，各位等我substack的订阅费攒够了我再给大家做个深度的调查开开眼 🤣🤣   ps：各位在看的时候不觉得很奇怪吗？为什么数据总结完之后 —— 一下子就跳到了bstocks的borrow属性？！ 11-12章之间是不是缺了什么啊？ bingo ～ 缺了orderbook的流动性分析 🤣 （有空给大家单独讲讲）
