推文ID,发布时间,JEV评级,JEV得分,点赞量,转推量,浏览量,推文正文,原推链接
1805116601550954669,2024-06-24 05:51:49,B,22,47,1,99832,一定一定保护好本金，别玩了。虽然我骂的币安挺多，但是为了保护你们的资金，我自己最常用来交易的号没亏钱基本上，但半个月也没赚钱相当于😂 https://t.co/XBSK91tYli,https://x.com/xiaomustock/status/1805116601550954669
1976546946799239316,2025-10-10 07:14:49,B,22,41,3,331342,今天指数暴跌6%符合之前的想法继续干，转了150进去抄底梭哈了一把科创板和创业板看多期权，浮亏25万. https://t.co/QqYuJ3mCJ8,https://x.com/xiaomustock/status/1976546946799239316
1918132298631004267,2025-05-02 02:35:51,B,22,39,6,209582,干了祖传10万刀的sign，打一波空头止损. https://t.co/RQZi91xI82,https://x.com/xiaomustock/status/1918132298631004267
1881008102138651035,2025-01-19 15:57:33,C,21,135,4,283228,全鸡儿清了，不想还回去了，今天瞎p了一波回撤一百万u.好好滑雪了.,https://x.com/xiaomustock/status/1881008102138651035
1925246474235040205,2025-05-21 17:45:03,C,21,112,1,322190,币安系统崩溃，开仓不显示仓位，平仓不消失.,https://x.com/xiaomustock/status/1925246474235040205
1938177694199324729,2025-06-26 10:09:06,C,20,27,4,443529,继续加仓 $AMD 梭哈死了算了. https://t.co/MRmcVEtHm5,https://x.com/xiaomustock/status/1938177694199324729
1726812203171623215,2023-11-21 03:58:06,C,19,68,16,46959,买卖币止损我一般都按照这个原则来,https://x.com/xiaomustock/status/1726812203171623215
1950346357958705435,2025-07-30 00:03:02,C,19,38,2,42165,"最近唯一赚钱的就这大宗了，撸了段多晶硅和碳酸锂，最后都梭哈了螺纹钢等焦煤的价格传导到螺纹钢上.
应该才刚刚开始，要么涨价要么全部停产别干了. https://t.co/OrWyc1pNnR",https://x.com/xiaomustock/status/1950346357958705435
1704365027304649010,2023-09-20 05:21:02,C,19,37,0,43888,lever把小号干回撤了，应该看到这俩个大额转币安出货的立马跑他娘的 https://t.co/n4BB9bY6Av,https://x.com/xiaomustock/status/1704365027304649010
1975812612496761194,2025-10-08 06:36:50,C,19,24,2,54002,"这会太p了，已经p不过来，
兄弟们不如梭哈bsc的meme发射平台，
form. https://t.co/rxmte4Ppq7",https://x.com/xiaomustock/status/1975812612496761194
1909239130502152649,2025-04-07 13:37:35,C,19,22,11,57935,"挂了个止盈止损怕穿仓，朋友说穿仓亏的钱要真赔.
7.2止损，7.49止盈. https://t.co/vbbKKRtRAR",https://x.com/xiaomustock/status/1909239130502152649
1876968519541146020,2025-01-08 12:25:42,C,18,85,0,72333,彻底投降止损了，有好机会私信我，评论区dd.,https://x.com/xiaomustock/status/1876968519541146020
2028471152109289656,2026-03-02 14:03:04,C,18,60,0,114340,铜平了梭哈了燃油2605， https://t.co/VweJ0fBoGl,https://x.com/xiaomustock/status/2028471152109289656
1691040425220718592,2023-08-14 10:53:50,C,18,16,4,8837,115卖了一半他娘的内心反反复复纠结了无数次，卖掉一半赚手里踏实。（来来回回撤了好几次委托单）😂 https://t.co/pT5fUAi2oW,https://x.com/xiaomustock/status/1691040425220718592
2056635176915013894,2026-05-19 07:16:51,C,17,181,7,88452,"投资要相信自己相信的东西，
然后全力以赴梭哈，
剩下的交给命运。",https://x.com/xiaomustock/status/2056635176915013894
1945207800533049424,2025-07-15 19:44:14,C,16,32,10,144410,"我疯了还是这个对冲基金疯了,
150万刀可真敢想啊，一万刀我都不敢想，
真150万刀，sbet不得涨个几万刀一股🌚",https://x.com/xiaomustock/status/1945207800533049424
1886800963828376074,2025-02-04 15:36:19,C,15,27,5,68117,梭哈京东死了算了. https://t.co/PQCkdzssld,https://x.com/xiaomustock/status/1886800963828376074
2088256720208601264,2026-08-14 13:29:34,C,14,0,0,0,"闪迪涨成这样逼样我再加仓会不会死里面。
看着心痒痒，闪迪仓位占比太小了。",https://x.com/xiaomustock/status/2088256720208601264
1855623962098798607,2024-11-10 14:50:03,C,13,28,1,35700,doge，shib，pepe利润回撤大半，不过doge我一点跑的想法都没有,https://x.com/xiaomustock/status/1855623962098798607
1855621575481196774,2024-11-10 14:40:34,C,13,26,0,62724,一小会功夫，pepe的利润回撤了一半,https://x.com/xiaomustock/status/1855621575481196774
1982486067841536310,2025-10-26 16:34:46,C,12,31,2,43822,所以老表们梭不梭哈阿里巴巴股票.,https://x.com/xiaomustock/status/1982486067841536310
2078058246259216419,2026-07-17 10:04:29,C,12,0,0,0,"反弹来了，
人生最有价值的一句建议，Do not fear！
跌成这逼样，再跌巴菲特得把几千亿美金梭哈了。",https://x.com/xiaomustock/status/2078058246259216419
2016412398224343271,2026-01-28 07:25:53,C,10,4,0,3185,@ManchiSee92806r 就10手渣渣仓位了，没拿住 https://t.co/YqvuzcgDue,https://x.com/xiaomustock/status/2016412398224343271
2094310089553482149,2026-08-31 06:23:30,C,10,0,0,0,"往东方财富打了2260，梭哈了紫光股份，
紫光这半年报业绩牛逼，我单调一波。",https://x.com/xiaomustock/status/2094310089553482149
1690977157923975168,2023-08-14 06:42:25,C,8,6,0,3727,佛法不轻传😂从知道到做到太难了，都知道王阳明的知行合一，没几个人能践行始终，尤其是投资上，更应该践行，才能不断提高交易胜率，而不是靠情绪的一时冲动,https://x.com/xiaomustock/status/1690977157923975168
1869692424098095387,2024-12-19 10:33:05,C,4,11,1,4548,@coolish 爆赞👍页面做的再跟okx比一下做的这个alpha区，还不如别的交易所帮他弄的好，币安全是为了搞钱利益，钱包搞几年了都没弄好.,https://x.com/xiaomustock/status/1869692424098095387
2017899478855070061,2026-02-01 09:55:01,C,4,8,0,10182,@okzczc 分散投资，放一个地方就这样，单一市场风险太大了，一上头可能全没了,https://x.com/xiaomustock/status/2017899478855070061
2058775184648069206,2026-05-25 05:00:28,C,4,7,0,11091,@DYWANYBZ 主要看自己的仓位管理，炸不炸不重要,https://x.com/xiaomustock/status/2058775184648069206
1934649951084216464,2025-06-16 16:31:07,C,4,7,1,1669,@DongxiaJ 不想去香港的话淘宝都能开港卡，或者众安银行免费开.,https://x.com/xiaomustock/status/1934649951084216464
2095076380962930752,2026-09-02 09:08:28,C,4,6,0,9258,@0xvck_ai 对呐，巴菲特零息白嫖了日股很多年,https://x.com/xiaomustock/status/2095076380962930752
1902988564834504800,2025-03-21 07:40:04,C,4,2,0,2128,@sunyangphp 亏钱没事，主要仓位都是br.,https://x.com/xiaomustock/status/1902988564834504800
1951533450000998883,2025-08-02 06:40:06,C,4,1,0,1048,@Taiyang958625 😂，确定不是仓位没了,https://x.com/xiaomustock/status/1951533450000998883
1909446959863419273,2025-04-08 03:23:25,C,4,1,0,1950,@wcw3396 亏麻了，回撤到76,https://x.com/xiaomustock/status/1909446959863419273
1732346948563444153,2023-12-06 10:31:12,C,4,1,0,639,@FoulOrigin 利润回撤那也是亏啊，最高价就是我的成本价,https://x.com/xiaomustock/status/1732346948563444153
1866104576266641825,2024-12-09 12:56:16,C,4,0,0,3786,@yangchen66199 毛线哎，今天全部大幅回撤。,https://x.com/xiaomustock/status/1866104576266641825
2047522371620274325,2026-04-24 03:45:49,C,2,15,0,28643,@123456789bzur 分散配置，分区管理,https://x.com/xiaomustock/status/2047522371620274325
2019330575988064648,2026-02-05 08:41:41,C,0,5,0,904,@harryso19 美区的存储短期冲的太猛了，跌个几十个点正常.,https://x.com/xiaomustock/status/2019330575988064648
1974707978596217210,2025-10-05 05:27:25,C,0,3,0,672,@skyguoCypherium 梭哈辉瑞,https://x.com/xiaomustock/status/1974707978596217210
1654855051976880130,2023-05-06 14:26:04,C,0,2,0,313,@TTietou 梭哈梭哈，披萨发家,https://x.com/xiaomustock/status/1654855051976880130
